id,date,prcp,tmax
USC00457773,2014-06-07,0,NA
USC00457773,2014-06-08,0,NA
USC00457773,2014-06-09,0,NA
USC00457773,2014-06-10,0,NA
USC00457773,2014-06-11,0,NA
USC00457773,2014-06-12,0,NA
USC00457773,2014-06-13,175,NA
USC00457773,2014-06-14,38,NA
USC00457773,2014-06-15,56,NA
USC00457773,2014-06-16,NA,NA
USC00457773,2014-06-17,NA,NA
USC00457773,2014-06-18,NA,NA
USC00457773,2014-06-19,NA,NA
USC00457773,2014-06-20,NA,NA
USC00457773,2014-06-21,0,NA
USC00457773,2014-06-22,0,NA
USC00457773,2014-06-23,0,NA
USC00457773,2014-06-24,0,NA
USC00457773,2014-06-25,0,NA
USC00457773,2014-06-26,NA,NA
USC00457773,2014-06-27,NA,NA
USC00457773,2014-06-28,114,NA
USC00457773,2014-06-29,30,NA
USC00457773,2014-06-30,0,NA
USC00457773,2014-07-01,0,NA
USC00457773,2014-07-02,0,NA
USC00457773,2014-07-03,0,NA
USC00457773,2014-07-04,0,NA
USC00457773,2014-07-05,0,NA
USC00457773,2014-07-06,0,NA
USC00457773,2014-07-07,0,NA
USC00457773,2014-07-08,0,NA
USC00457773,2014-07-09,0,NA
USC00457773,2014-07-10,0,NA
USC00457773,2014-07-11,0,NA
USC00457773,2014-07-12,0,NA
USC00457773,2014-07-13,0,NA
USC00457773,2014-07-14,3,NA
USC00457773,2014-07-15,0,NA
USC00457773,2014-07-16,0,NA
USC00457773,2014-07-17,0,NA
USC00457773,2014-07-18,0,NA
USC00457773,2014-07-19,0,NA
USC00457773,2014-07-20,15,NA
USC00457773,2014-07-21,5,NA
USC00457773,2014-07-22,0,NA
USC00457773,2014-07-23,165,NA
USC00457773,2014-07-24,279,NA
USC00457773,2014-07-25,0,NA
USC00457773,2014-07-26,0,NA
USC00457773,2014-07-27,0,NA
USC00457773,2014-07-28,0,NA
USC00457773,2014-07-29,0,NA
USC00457773,2014-07-30,0,NA
USC00457773,2014-07-31,0,NA
USC00457773,2014-08-01,0,NA
USC00457773,2014-08-02,5,NA
USC00457773,2014-08-03,0,NA
USC00457773,2014-08-04,0,NA
USC00457773,2014-08-05,0,NA
USC00457773,2014-08-06,0,NA
USC00457773,2014-08-07,0,NA
USC00457773,2014-08-08,0,NA
USC00457773,2014-08-09,0,NA
USC00457773,2014-08-10,0,NA
USC00457773,2014-08-11,0,NA
USC00457773,2014-08-12,0,NA
USC00457773,2014-08-13,259,NA
USC00457773,2014-08-14,NA,NA
USC00457773,2014-08-15,NA,NA
USC00457773,2014-08-16,20,NA
USC00457773,2014-08-17,0,NA
USC00457773,2014-08-18,0,NA
USC00457773,2014-08-19,0,NA
USC00457773,2014-08-20,0,NA
USC00457773,2014-08-21,0,NA
USC00457773,2014-08-22,0,NA
USC00457773,2014-08-23,0,NA
USC00457773,2014-08-24,0,NA
USC00457773,2014-08-25,0,NA
USC00457773,2014-08-26,0,NA
USC00457773,2014-08-27,0,NA
USC00457773,2014-08-28,0,NA
USC00457773,2014-08-29,0,NA
USC00457773,2014-08-30,0,NA
USC00457773,2014-08-31,163,NA
USC00457773,2014-09-01,0,NA
USC00457773,2014-09-02,0,NA
USC00457773,2014-09-03,279,NA
USC00457773,2014-09-04,5,NA
USC00457773,2014-09-05,0,NA
USC00457773,2014-09-06,0,NA
USC00457773,2014-09-07,0,NA
USC00457773,2014-09-08,0,NA
USC00457773,2014-09-09,114,NA
USC00457773,2014-09-10,0,NA
USC00457773,2014-09-11,0,NA
USC00457773,2014-09-12,0,NA
USC00457773,2014-09-13,5,NA
USC00457773,2014-09-14,0,NA
USC00457773,2014-09-15,0,NA
USC00457773,2014-09-16,0,NA
USC00457773,2014-09-17,3,NA
USC00457773,2014-09-18,13,NA
USC00457773,2014-09-19,0,NA
USC00457773,2014-09-20,0,NA
USC00457773,2014-09-21,0,NA
USC00457773,2014-09-22,0,NA
USC00457773,2014-09-23,NA,NA
USC00457773,2014-09-24,NA,NA
USC00457773,2014-09-25,107,NA
USC00457773,2014-09-26,69,NA
USC00457773,2014-09-27,38,NA
USC00457773,2014-09-28,NA,NA
USC00457773,2014-09-29,NA,NA
USC00457773,2014-09-30,175,NA
USC00457773,2014-10-01,5,NA
USC00457773,2014-10-02,0,NA
USC00457773,2014-10-03,0,NA
USC00457773,2014-10-04,0,NA
USC00457773,2014-10-05,0,NA
USC00457773,2014-10-06,0,NA
USC00457773,2014-10-07,0,NA
USC00457773,2014-10-08,0,NA
USC00457773,2014-10-09,5,NA
USC00457773,2014-10-10,5,NA
USC00457773,2014-10-11,28,NA
USC00457773,2014-10-12,155,NA
USC00457773,2014-10-13,8,NA
USC00457773,2014-10-14,150,NA
USC00457773,2014-10-15,51,NA
USC00457773,2014-10-16,69,NA
USC00457773,2014-10-17,8,NA
USC00457773,2014-10-18,122,NA
USC00457773,2014-10-19,30,NA
USC00457773,2014-10-20,81,NA
USC00457773,2014-10-21,109,NA
USC00457773,2014-10-22,206,NA
USC00457773,2014-10-23,277,NA
USC00457773,2014-10-24,84,NA
USC00457773,2014-10-25,79,NA
USC00457773,2014-10-26,183,NA
USC00457773,2014-10-27,97,NA
USC00457773,2014-10-28,66,NA
USC00457773,2014-10-29,206,NA
USC00457773,2014-10-30,8,NA
USC00457773,2014-10-31,208,NA
USC00457773,2014-11-01,135,NA
USC00457773,2014-11-02,NA,NA
USC00457773,2014-11-03,NA,NA
USC00457773,2014-11-04,185,NA
USC00457773,2014-11-05,20,NA
USC00457773,2014-11-06,51,NA
