cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
139301,20000,14,64,63,2,0,7
8559,20000,22,27,214,6,12,2
138932,20000,4,6,266,0,0,5
9279,20000,44,37,225,14,0,55
9304,20000,28,40,133,4,0,4
9151,20000,10,23,97,0,0,14
10280,20000,149,23,65,10,0,18
10125,20000,130,69,122,26,0,12
10163,20000,62,22,48,8,0,10
10710,20000,347,91,192,138,12,22
139897,20000,819,951,407,452,40,98
10018,30000,186,192,132,33,0,48
139933,20000,134,69,130,24,0,12
10812,20000,196,222,171,207,0,30
139851,20000,824,969,403,454,42,62
139869,20000,832,969,402,432,32,75
9953,20000,204,166,172,102,0,12
10311,20000,50,22,48,4,2,4
139867,20000,802,969,396,452,42,78
10608,20000,115,28,58,4,0,67
9989,50000,930,958,561,488,44,237
10906,20000,91,34,43,14,0,6
10860,20000,85,24,92,8,8,10
10062,20000,53,18,130,26,0,0
9988,20000,62,48,36,2,0,12
139824,20000,882,953,423,432,30,67
139820,20000,866,935,418,430,30,78
9354,20000,365,373,211,50,0,24
139809,20000,785,974,337,426,30,65
10740,20000,92,114,188,55,0,30
10372,20000,57,77,104,16,0,17
10733,20000,8,37,73,2,6,26
10813,30000,207,236,919,49,18,46
10485,20000,80,115,219,30,6,55
10806,20000,135,633,531,238,14,108
10509,50000,80,354,542,883,12,47
10765,20000,42,27,85,26,15,6
139987,20000,4,14,19,6,6,4
10153,20000,18,78,165,37,0,74
10714,20000,219,343,291,215,12,52
10552,20000,45,154,257,49,8,35
140019,30000,18,21,40,41,6,3
11817,20000,406,1017,1073,893,30,61
10232,30000,83,334,733,1195,36,6
10528,20000,292,712,938,289,6,47
10109,20000,486,756,733,1820,71,50
10180,20000,46,45,104,12,6,18
10043,20000,18,42,80,28,15,8
10364,20000,215,341,277,215,12,52
140036,20000,40,19,120,2,0,35
10660,30000,168,269,557,99,12,185
1198477,20000,72,84,200,370,0,8
10512,20000,14,38,34,11,6,38
10683,20000,119,124,265,2608,51,26
10920,20000,98,145,345,39,8,20
11227,20000,36,68,90,25,12,32
10050,20000,435,1078,1061,1190,44,111
10904,20000,97,127,414,59,0,3
10413,20000,483,1072,1042,1242,56,94
9941,20000,390,510,400,912,56,43
10679,20000,118,148,458,41,18,24
10923,20000,42,18,137,2,0,29
10869,30000,285,460,927,137,12,56
9951,20000,8,42,56,26,0,8
140079,50000,702,1082,1099,1943,110,241
10641,20000,514,808,860,2081,58,42
9999,30000,596,993,948,941,60,105
10665,20000,72,51,254,8,0,16
10980,20000,4,14,32,0,0,0
10439,20000,32,60,114,14,6,8
10520,30000,562,884,1020,2248,71,77
140117,50000,749,960,914,923,63,148
10184,30000,440,541,472,1012,68,61
10575,20000,10,30,28,88,6,8
10422,20000,23,116,126,32,6,0
140189,30000,134,177,486,92,29,26
9997,20000,108,633,427,167,18,86
10270,20000,139,178,439,62,24,28
10715,20000,65,31,80,216,16,20
10409,20000,32,118,138,109,12,4
11325,30000,514,982,929,909,48,77
10154,20000,16,78,91,50,12,17
10253,20000,36,48,179,20,6,18
10290,20000,88,116,206,838,12,30
140175,20000,0,0,0,0,0,0
10931,30000,129,298,389,101,8,43
11521,20000,6,34,43,10,0,4
10374,20000,34,65,117,167,6,34
10382,20000,30,80,40,114,18,12
10908,50000,803,982,1087,995,72,143
10124,20000,94,114,90,94,36,31
10841,30000,229,846,619,305,30,235
10655,20000,135,186,527,56,12,25
10230,20000,245,390,257,432,18,68
10515,30000,126,155,454,57,23,20
10132,20000,453,1007,1065,1214,52,12
10141,30000,248,501,389,236,26,119
140202,50000,389,525,797,179,66,77
11919,20000,6,4,54,0,0,0
11177,20000,6,4,6,4,0,0
11171,20000,0,0,5,0,0,0
11296,20000,0,2,27,0,0,0
11753,20000,0,0,2,0,0,0
11061,20000,0,0,16,0,0,0
11845,20000,2,2,60,0,0,66
11168,20000,0,0,0,0,0,0
11792,20000,2,0,5,0,0,4
11906,20000,2,0,20,0,0,38
11840,50000,6,2,22,0,0,0
11490,20000,0,0,37,0,0,0
11756,20000,0,0,2,0,0,0
11395,50000,64,62,950,15,0,19
11555,30000,4,2,14,6,0,4
11607,20000,6,6,26,0,0,0
11090,20000,2,0,2,0,0,3
11561,50000,12,8,194,0,0,4
11713,20000,49,58,934,15,0,10
11596,20000,2,5,24,0,0,0
11923,20000,0,0,12,0,0,0
11861,20000,0,0,2,0,0,0
11106,20000,2,6,62,0,0,24
11051,30000,18,3,64,6,0,18
11182,20000,8,0,36,0,0,2
11080,50000,64,62,944,15,0,19
11826,20000,4,0,13,0,0,3
11007,30000,36,24,118,4,0,8
12250,20000,647,929,1067,2451,66,127
12355,20000,1418,1114,457,1238,24,66
11275,20000,614,860,653,1421,24,96
10996,20000,386,512,377,984,6,115
11400,20000,610,357,545,982,32,90
11932,20000,1190,1225,1143,1740,120,228
12639,20000,6,0,11,0,0,3
12374,50000,88,155,786,19,0,47
12764,30000,56,142,868,11,0,39
12512,30000,10,4,618,8,0,4
12124,20000,2,0,382,0,0,0
12387,20000,0,0,0,0,0,0
12739,20000,0,4,10,0,0,3
12155,20000,2,0,24,0,0,16
11970,20000,4,2,30,0,0,0
12067,20000,42,64,56,40,12,30
12327,20000,81,60,66,19,6,47
12871,20000,36,4,20,0,0,0
12598,20000,34,16,116,6,0,2
12778,20000,8,2,18,6,0,104
12774,20000,80,105,323,26,0,117
12262,20000,14,16,30,0,6,114
12049,20000,51,62,112,61,6,54
12201,20000,27,29,128,16,12,33
12583,20000,50,36,88,10,0,20
12464,20000,57,45,19,18,0,7
12054,20000,348,447,773,170,18,47
12309,20000,51,62,114,61,6,45
12574,20000,12,2,24,0,0,26
12013,20000,426,585,891,230,18,51
12465,20000,17,10,48,0,0,16
12821,20000,8,4,19,0,0,8
12719,20000,38,39,54,0,0,0
12515,30000,477,655,775,240,24,136
12329,20000,30,10,76,0,0,8
12562,20000,56,60,40,8,0,8
12292,20000,279,141,369,47,48,132
12136,20000,73,75,94,12,0,16
12351,20000,160,206,744,54,12,52
12508,50000,540,706,888,256,24,352
12808,20000,31,26,132,38,12,24
12924,20000,74,103,291,35,0,93
12442,20000,45,21,112,4,0,12
12414,20000,60,68,60,32,0,34
12281,20000,411,198,288,85,84,85
12836,20000,70,70,244,10,0,102
12842,20000,421,212,362,83,84,99
12129,20000,16,6,151,12,0,72
12328,20000,12,2,66,10,0,2
12024,20000,0,0,7,0,0,0
12275,20000,10,9,180,4,0,13
12684,50000,116,60,311,60,6,6
12843,20000,6,0,4,6,0,0
12607,20000,30,42,309,0,0,0
12411,20000,87,30,413,14,0,4
12131,20000,0,0,15,0,0,23
11941,20000,2,0,4,0,0,10
12784,20000,14,0,237,0,0,16
12032,20000,18,2,38,68,0,8
12413,20000,0,0,2,0,0,3
12207,20000,19,2,467,0,0,0
12635,20000,2,0,15,2,0,24
12543,50000,68,271,887,10,0,10
15167,30000,6,0,12,18,0,0
13382,30000,0,3,0,0,0,0
13742,20000,0,2,0,0,0,0
15292,20000,0,0,0,0,0,0
13332,20000,0,2,0,0,0,0
15332,50000,0,2,0,0,0,4
14991,50000,2,16,6,0,0,0
