cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
147472,50000,41,33,158,0,0,42
54751,20000,0,3,30,0,0,3
53863,20000,0,0,2,0,0,0
147456,30000,2,0,15,0,0,0
147463,30000,15,14,88,0,0,10
54521,20000,0,0,0,0,0,0
148023,30000,0,0,4,0,0,0
54392,20000,8,6,43,1,0,7
147440,20000,2,0,8,0,0,0
54295,20000,14,21,0,0,0,16
54052,20000,250,372,874,28,4,15
147933,20000,0,0,1,0,0,0
54623,20000,0,0,0,0,0,0
147447,20000,0,0,1,0,0,0
56940,20000,82,155,367,4,0,15
147811,30000,2,0,12,0,0,0
147819,30000,0,0,0,0,0,0
54270,20000,13,8,36,0,0,30
147422,20000,0,0,6,0,0,0
147446,20000,1,0,20,0,0,4
57190,30000,77,184,495,11,0,23
53874,20000,1,4,4,0,0,4
147444,20000,2,4,0,0,0,4
53881,20000,45,41,136,49,0,3
54687,20000,40,29,110,31,0,3
147450,20000,0,3,2,0,0,0
53840,20000,0,6,1,0,0,0
54219,20000,0,0,51,6,0,0
54431,20000,2,2,18,0,0,0
54445,30000,11,5,28,0,0,6
57693,20000,0,0,0,0,0,0
53858,20000,0,0,4,6,0,0
53798,20000,4,0,4,6,0,0
147425,30000,0,0,8,0,0,0
54689,30000,8,18,169,0,0,0
147430,20000,8,0,4,30,0,0
54435,20000,0,0,5,0,0,6
57157,20000,6,31,83,9,0,7
54239,20000,6,0,39,0,0,15
54250,50000,14,47,114,18,0,27
147435,20000,0,2,29,0,0,6
147428,50000,14,48,114,18,0,27
147433,20000,2,0,0,0,0,0
54532,20000,0,0,6,6,0,0
53949,20000,1,0,30,0,0,3
54476,30000,14,16,169,0,0,0
54768,20000,2,0,0,0,0,0
147426,50000,7,20,128,4,0,0
147431,20000,1,0,0,0,0,0
54748,20000,0,0,0,0,0,4
147415,50000,100,29,87,4,0,8
54000,20000,78,202,944,6,0,37
54721,20000,9,34,235,10,0,3
53796,50000,4,38,125,2,0,68
147419,50000,118,156,780,38,0,196
147414,20000,9,30,78,10,0,3
147796,50000,10,57,183,2,0,69
147852,30000,66,143,490,11,0,44
147761,20000,0,0,8,0,0,6
57141,20000,0,0,16,0,0,3
53898,20000,45,84,968,11,0,10
54087,50000,279,436,981,142,72,248
54593,20000,9,16,17,54,0,0
147403,30000,14,34,345,1,4,0
53955,50000,14,21,219,0,0,36
53886,20000,16,16,125,0,0,7
54081,20000,1,19,28,0,0,0
147853,20000,0,0,11,0,0,0
54367,20000,10,2,72,0,0,7
54708,20000,133,295,836,25,5,14
54135,20000,56,80,169,53,0,3
147408,20000,2,0,0,0,0,0
147407,20000,0,0,8,0,0,0
54045,20000,11,17,111,2,0,7
54262,20000,2,0,56,6,0,0
54460,20000,0,0,12,0,0,0
147404,20000,0,0,1,0,0,3
53830,20000,2,0,0,0,0,0
147899,20000,6,6,143,0,0,0
147402,30000,0,0,0,0,0,0
54245,30000,65,120,429,14,0,117
147396,20000,0,11,13,0,0,0
53870,20000,258,348,863,28,4,19
54362,50000,287,39,151,104,6,14
54763,50000,28,45,207,0,0,195
54248,20000,110,123,377,37,0,49
54598,20000,0,0,12,6,0,4
147782,20000,4,16,50,0,0,6
54668,20000,7,14,119,0,0,6
53907,20000,15,4,88,0,0,0
147387,20000,0,0,0,0,0,0
54214,50000,42,91,371,30,0,25
54599,20000,27,4,80,12,0,36
54520,50000,48,121,165,20,0,75
147394,50000,54,129,179,20,0,63
54425,20000,12,10,34,6,0,0
147410,50000,28,45,207,0,0,177
147385,30000,24,18,51,0,0,0
54501,20000,4,14,75,0,0,0
147395,20000,6,0,2,0,0,0
147393,20000,0,0,0,0,0,0
147940,20000,0,0,10,0,0,0
53885,20000,0,0,12,0,0,0
147390,20000,0,0,0,0,0,0
53933,20000,0,0,110,0,0,0
54416,20000,203,433,924,29,0,6
147383,20000,0,0,0,0,0,0
147728,20000,0,0,11,0,0,0
56905,20000,6,0,8,0,0,0
147722,50000,77,144,358,24,0,0
57345,30000,12,19,104,0,0,4
57187,20000,115,279,912,20,1,13
147720,20000,0,0,6,0,0,0
58115,20000,51,29,64,20,0,0
58561,20000,6,2,7,0,0,39
58408,50000,49,49,132,114,0,3
58550,20000,57,18,169,88,0,0
58400,20000,57,33,281,12,0,12
58335,30000,133,108,386,25,0,0
58472,20000,14,10,110,2,0,9
57778,20000,14,16,69,9,0,15
58756,20000,5,10,43,1,0,0
58478,20000,6,27,36,9,0,0
58435,20000,22,3,17,0,0,0
58401,20000,33,53,125,21,0,0
